date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:33:20	5527/5527	---M--	200	added ('OK')	text/html	date:Tue,%2025%20Jun%202024%2014:33:20%20GMT	https://workflows.crc.nd.edu/	./index-2.html	(from )
09:33:21	2019/2019	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%227e3-54327e6c62203%22	https://workflows.crc.nd.edu/templates/protostar-workflows/favicon.ico	./templates/protostar-workflows/favicon.ico	(from https://workflows.crc.nd.edu/)
09:33:23	167647/167647	---M--	200	added ('OK')	text/css	etag:%2228edf-5432f83058a21%22	https://workflows.crc.nd.edu/templates/protostar-workflows/css/template.css?b22014daade07f249022d8dfda92c200	./templates/protostar-workflows/css/templatec1c7.css	(from https://workflows.crc.nd.edu/)
09:33:23	97646/97646	---M--	200	added ('OK')	application/javascript	etag:%2217d6e-5fffc2ae44e00%22	https://workflows.crc.nd.edu/media/jui/js/jquery.min.js?b22014daade07f249022d8dfda92c200	./media/jui/js/jquery.minc1c7.js	(from https://workflows.crc.nd.edu/)
09:33:24	21/21	---M--	200	added ('OK')	application/javascript	etag:%2215-5fffc2ae44e00%22	https://workflows.crc.nd.edu/media/jui/js/jquery-noconflict.js?b22014daade07f249022d8dfda92c200	./media/jui/js/jquery-noconflictc1c7.js	(from https://workflows.crc.nd.edu/)
09:33:25	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%222748-5fffc2ae44e00%22	https://workflows.crc.nd.edu/media/jui/js/jquery-migrate.min.js?b22014daade07f249022d8dfda92c200	./media/jui/js/jquery-migrate.minc1c7.js	(from https://workflows.crc.nd.edu/)
09:33:26	491/491	---M--	200	added ('OK')	application/javascript	etag:%221eb-5fffc2ae44e00%22	https://workflows.crc.nd.edu/media/system/js/caption.js?b22014daade07f249022d8dfda92c200	./media/system/js/captionc1c7.js	(from https://workflows.crc.nd.edu/)
09:33:27	29126/29126	---M--	200	added ('OK')	application/javascript	etag:%2271c6-5fffc2ae44e00%22	https://workflows.crc.nd.edu/media/jui/js/bootstrap.min.js?b22014daade07f249022d8dfda92c200	./media/jui/js/bootstrap.minc1c7.js	(from https://workflows.crc.nd.edu/)
09:33:28	1783/1783	---M--	200	added ('OK')	application/javascript	etag:%226f7-54327e6c6358b%22	https://workflows.crc.nd.edu/templates/protostar-workflows/js/template.js?b22014daade07f249022d8dfda92c200	./templates/protostar-workflows/js/templatec1c7.js	(from https://workflows.crc.nd.edu/)
09:33:29	4550/4550	---M--	200	added ('OK')	text/html	date:Tue,%2025%20Jun%202024%2014:33:29%20GMT	https://workflows.crc.nd.edu/index.php/about	./index.php/about.html	(from https://workflows.crc.nd.edu/)
09:33:30	38647/38647	---M--	200	added ('OK')	image/png	etag:%2296f7-5432c040e2fba%22	https://workflows.crc.nd.edu/images/workflows_logo.png	./images/workflows_logo.png	(from https://workflows.crc.nd.edu/)
09:33:31	9320/9320	---M--	200	added ('OK')	image/png	etag:%222468-5432f679c1731%22	https://workflows.crc.nd.edu/images/workshops.png	./images/workshops.png	(from https://workflows.crc.nd.edu/)
09:33:32	9252/9252	---M--	200	added ('OK')	image/png	etag:%222424-5432f679c1349%22	https://workflows.crc.nd.edu/images/proposal.png	./images/proposal.png	(from https://workflows.crc.nd.edu/)
09:33:33	14585/14585	---M--	200	added ('OK')	image/png	etag:%2238f9-5432f679c0f61%22	https://workflows.crc.nd.edu/images/mailing_list.png	./images/mailing_list.png	(from https://workflows.crc.nd.edu/)
